UnitID UnitName PlantID PlantName IntegrationDate UnitCap Tilt Azimuth CellModel CellNum Vmp Lmp Voc Isc Pm
3060 #21 2356 光伏2356 "2017-01-18 00:00:00" 3982950.0000 17.0000 0.0000 JKM465M-7RL3-V 1590 43.1800 10.7700 51.9200 11.5900 465.0000
3061 #22 2356 光伏2356 "2017-01-18 00:00:00" 3982950.0000 17.0000 0.0000 JKM465M-7RL3-V 1590 43.1800 10.7700 51.9200 11.5900 465.0000
3062 #23 2356 光伏2356 "2017-01-18 00:00:00" 3982950.0000 17.0000 0.0000 JKM465M-7RL3-V 1590 43.1800 10.7700 51.9200 11.5900 465.0000
3063 #28 2356 光伏2356 "2017-01-18 00:00:00" 3982950.0000 17.0000 0.0000 JKM465M-7RL3-V 1590 43.1800 10.7700 51.9200 11.5900 465.0000
3064 #30 2356 光伏2356 "2017-01-18 00:00:00" 3982950.0000 17.0000 0.0000 JKM465M-7RL3-V 1590 43.1800 10.7700 51.9200 11.5900 465.0000
3065 #31 2356 光伏2356 "2017-01-18 00:00:00" 3982950.0000 17.0000 0.0000 JKM465M-7RL3-V 1590 43.1800 10.7700 51.9200 11.5900 465.0000
3066 #32 2356 光伏2356 "2017-01-18 00:00:00" 3982950.0000 17.0000 0.0000 JKM465M-7RL3-V 1590 43.1800 10.7700 51.9200 11.5900 465.0000
3067 #33 2356 光伏2356 "2017-01-18 00:00:00" 3982950.0000 17.0000 0.0000 JKM465M-7RL3-V 1590 43.1800 10.7700 51.9200 11.5900 465.0000
3068 #34 2356 光伏2356 "2017-01-18 00:00:00" 3982950.0000 17.0000 0.0000 JKM465M-7RL3-V 1590 43.1800 10.7700 51.9200 11.5900 465.0000
3069 #37 2356 光伏2356 "2017-01-18 00:00:00" 3982950.0000 17.0000 0.0000 JKM465M-7RL3-V 1590 43.1800 10.7700 51.9200 11.5900 465.0000
3070 #38 2356 光伏2356 "2017-01-18 00:00:00" 3982950.0000 17.0000 0.0000 JKM465M-7RL3-V 1590 43.1800 10.7700 51.9200 11.5900 465.0000
3071 #39 2356 光伏2356 "2017-01-18 00:00:00" 3982950.0000 17.0000 0.0000 JKM465M-7RL3-V 1590 43.1800 10.7700 51.9200 11.5900 465.0000
3072 #40 2356 光伏2356 "2017-01-18 00:00:00" 3982950.0000 17.0000 0.0000 JKM465M-7RL3-V 1590 43.1800 10.7700 51.9200 11.5900 465.0000
3073 #4 2356 光伏2356 "2017-01-18 00:00:00" 3985455.0000 17.0000 0.0000 JKM470M-7RL3-V 1591 43.2800 10.8600 52.1400 11.6800 470.0000
3074 #5 2356 光伏2356 "2017-01-18 00:00:00" 3985455.0000 17.0000 0.0000 JKM470M-7RL3-V 1591 43.2800 10.8600 52.1400 11.6800 470.0000
3075 #6 2356 光伏2356 "2017-01-18 00:00:00" 3985455.0000 17.0000 0.0000 JKM470M-7RL3-V 1591 43.2800 10.8600 52.1400 11.6800 470.0000
3076 #7 2356 光伏2356 "2017-01-18 00:00:00" 3985455.0000 17.0000 0.0000 JKM470M-7RL3-V 1591 43.2800 10.8600 52.1400 11.6800 470.0000
3077 #8 2356 光伏2356 "2017-01-18 00:00:00" 3985455.0000 17.0000 0.0000 JKM470M-7RL3-V 1591 43.2800 10.8600 52.1400 11.6800 470.0000
3078 #9 2356 光伏2356 "2017-01-18 00:00:00" 3985455.0000 17.0000 0.0000 JKM470M-7RL3-V 1591 43.2800 10.8600 52.1400 11.6800 470.0000
3079 #10 2356 光伏2356 "2017-01-18 00:00:00" 3985455.0000 17.0000 0.0000 JKM470M-7RL3-V 1591 43.2800 10.8600 52.1400 11.6800 470.0000
3080 #17 2356 光伏2356 "2017-01-18 00:00:00" 3985455.0000 17.0000 0.0000 JKM470M-7RL3-V 1591 43.2800 10.8600 52.1400 11.6800 470.0000
3081 #19 2356 光伏2356 "2017-01-18 00:00:00" 3985455.0000 17.0000 0.0000 JKM470M-7RL3-V 1591 43.2800 10.8600 52.1400 11.6800 470.0000
3082 #20 2356 光伏2356 "2017-01-18 00:00:00" 3985455.0000 17.0000 0.0000 JKM470M-7RL3-V 1591 43.2800 10.8600 52.1400 11.6800 470.0000
3083 #24 2356 光伏2356 "2017-01-18 00:00:00" 3985455.0000 17.0000 0.0000 JKM470M-7RL3-V 1591 43.2800 10.8600 52.1400 11.6800 470.0000
3084 #25 2356 光伏2356 "2017-01-18 00:00:00" 3985455.0000 17.0000 0.0000 JKM470M-7RL3-V 1591 43.2800 10.8600 52.1400 11.6800 470.0000
3085 #27 2356 光伏2356 "2017-01-18 00:00:00" 3985455.0000 17.0000 0.0000 JKM470M-7RL3-V 1591 43.2800 10.8600 52.1400 11.6800 470.0000
3086 #29 2356 光伏2356 "2017-01-18 00:00:00" 3985455.0000 17.0000 0.0000 JKM470M-7RL3-V 1591 43.2800 10.8600 52.1400 11.6800 470.0000
3087 #36 2356 光伏2356 "2017-01-18 00:00:00" 3985455.0000 17.0000 0.0000 JKM470M-7RL3-V 1591 43.2800 10.8600 52.1400 11.6800 470.0000
